Pal,Predator,Edible,Nocturnal,AIResponse,AISightResponse,ViewingDistance,ViewingAngle,HearingRate,Size,GenusCategory,Rarity,Hp,IsBoss,IsTowerBoss,IsRaidBoss
GYM_BlackGriffon_2_Avatar,false,true,true,Boss,None,25,90,1.0,5,2,10,120,true,true,false
GYM_MoonQueen_2,false,true,true,Boss,None,25,90,1.0,5,1,9,130,true,true,false
GYM_MoonQueen_2_Servant,false,true,true,Boss,None,25,90,1.0,5,0,9,130,true,true,false
GYM_SnowTigerBeastman_2,false,true,false,Boss,None,25,90,1.0,5,0,10,140,true,true,false
GYM_BlueSkyDragon_2,false,true,false,Boss,None,25,90,1.0,5,3,9,120,true,true,false
BadCatgirl,false,true,true,Warlike,None,25,90,1.0,3,1,4,110,false,false,false
BlueberryFairy,false,true,true,Escape_to_Battle,None,25,90,1.0,2,1,5,105,false,false,false
BOSS_Alpaca,false,true,false,NotInterested,None,25,90,1.0,5,2,8,108,true,false,false
BOSS_AmaterasuWolf,true,true,false,Boss,None,25,90,1.0,5,2,8,120,true,false,false
BOSS_Anubis,true,true,false,Boss,None,25,90,1.0,5,1,8,144,true,false,false
BOSS_BadCatgirl,false,true,true,Boss,None,25,90,1.0,4,1,5,132,true,false,false
BOSS_Baphomet,true,true,true,Boss,None,25,90,1.0,5,1,8,114,true,false,false
BOSS_Baphomet_Dark,true,true,true,Boss,None,25,90,1.0,5,1,8,114,true,false,false
BOSS_Bastet,false,true,true,NotInterested,None,25,90,1.0,2,2,5,84,true,false,false
BOSS_Bastet_Ice,false,true,false,NotInterested,None,25,90,1.0,2,2,5,84,true,false,false
BOSS_BeardedDragon,true,true,false,Boss,None,25,90,1.0,5,3,7,120,true,false,false
BOSS_BerryGoat,false,true,false,NotInterested,None,25,90,1.0,3,2,5,120,true,false,false
BOSS_BirdDragon,true,true,true,Boss,None,25,90,1.0,4,5,7,108,true,false,false
BOSS_BirdDragon_Ice,true,true,true,Boss,None,25,90,1.0,4,5,8,108,true,false,false
BOSS_BlackCentaur,false,true,true,Boss,None,25,90,1.0,5,2,8,156,true,false,false
BOSS_BlackFurDragon,true,true,true,Boss,None,25,90,1.0,5,1,8,156,true,false,false
BOSS_BlackGriffon,false,true,true,Boss,None,25,90,1.0,5,2,8,144,true,false,false
BOSS_BlackMetalDragon,false,true,true,Boss,None,25,90,1.0,5,6,8,120,true,false,false
BOSS_BlueberryFairy,false,true,true,Boss,None,25,90,1.0,3,1,8,126,true,false,false
BOSS_BlueDragon,false,true,false,Boss,None,25,90,1.0,5,4,8,132,true,false,false
BOSS_BluePlatypus,false,true,false,NotInterested,None,25,90,1.0,2,1,5,72,true,false,false
BOSS_Boar,true,true,false,Boss,None,25,90,1.0,3,2,5,96,true,false,false
BOSS_BrownRabbit,false,true,false,Boss,None,25,90,1.0,4,1,5,84,true,false,false
BOSS_CaptainPenguin,false,true,false,Boss,None,25,90,1.0,4,1,8,114,true,false,false
BOSS_Carbunclo,false,true,false,NotInterested,None,25,90,1.0,2,1,5,90,true,false,false
BOSS_CatBat,false,true,true,Boss,None,25,90,1.0,3,1,8,114,true,false,false
BOSS_CatMage,false,true,true,Boss,None,25,90,1.0,3,1,8,108,true,false,false
BOSS_CatMage_Fire,false,true,true,Boss,None,25,90,1.0,3,1,8,114,true,false,false
BOSS_CatVampire,false,true,true,Boss,None,25,90,1.0,3,1,8,120,true,false,false
BOSS_ChickenPal,false,true,false,NotInterested,None,25,90,1.0,2,5,5,72,true,false,false
BOSS_ColorfulBird,true,true,false,Boss,None,25,90,1.0,3,5,5,72,true,false,false
BOSS_CowPal,false,true,false,NotInterested,None,25,90,1.0,4,2,5,108,true,false,false
BOSS_CuteButterfly,false,true,false,NotInterested,None,25,90,1.0,3,5,5,84,true,false,false
BOSS_CuteFox,false,true,false,NotInterested,None,25,90,1.0,3,2,5,84,true,false,false
BOSS_CuteMole,false,true,false,NotInterested,None,25,90,1.0,3,1,5,78,true,false,false
BOSS_DarkCrow,true,true,true,Boss,None,25,90,1.0,3,5,7,90,true,false,false
BOSS_DarkMutant,false,true,true,Boss,None,25,90,1.0,5,1,8,120,true,false,false
BOSS_DarkScorpion,true,true,true,Boss,None,25,90,1.0,4,7,8,120,true,false,false
BOSS_DarkScorpion_Ground,true,true,false,Boss,None,25,90,1.0,4,7,8,120,true,false,false
BOSS_Deer,false,true,false,Boss,None,25,90,1.0,4,2,7,114,true,false,false
BOSS_Deer_Ground,false,true,false,Boss,None,25,90,1.0,4,2,8,114,true,false,false
BOSS_DreamDemon,false,true,true,NotInterested,None,25,90,1.0,2,1,5,84,true,false,false
BOSS_DrillGame,true,true,false,Boss,None,25,90,1.0,5,2,8,96,true,false,false
BOSS_Eagle,true,true,false,Boss,None,25,90,1.0,4,5,5,90,true,false,false
BOSS_ElecCat,false,true,false,NotInterested,None,25,90,1.0,2,1,5,72,true,false,false
BOSS_ElecLion,false,true,false,Boss,None,25,90,1.0,5,2,7,120,true,false,false
BOSS_ElecPanda,true,true,false,Boss,None,25,90,1.0,5,1,8,144,true,false,false
BOSS_FairyDragon,false,true,false,Boss,None,25,90,1.0,5,1,8,132,true,false,false
BOSS_FairyDragon_Water,false,true,false,Boss,None,25,90,1.0,5,1,8,138,true,false,false
BOSS_FengyunDeeper,false,true,false,Boss,None,25,90,1.0,4,2,7,132,true,false,false
BOSS_FireKirin,false,true,false,Boss,None,25,90,1.0,4,2,8,120,true,false,false
BOSS_FireKirin_Dark,false,true,true,Boss,None,25,90,1.0,4,2,8,120,true,false,false
Boss_FlameBambi,false,true,false,NotInterested,None,25,90,1.0,2,2,5,90,true,false,false
BOSS_FlameBuffalo,false,true,false,Boss,None,25,90,1.0,3,2,7,102,true,false,false
BOSS_FlowerDinosaur,false,true,false,NotInterested,None,25,90,1.0,5,1,8,132,true,false,false
BOSS_FlowerDinosaur_Electric,false,true,false,NotInterested,None,25,90,1.0,5,1,8,132,true,false,false
BOSS_FlowerDoll,false,true,false,NotInterested,None,25,90,1.0,3,1,8,120,true,false,false
BOSS_FlowerDoll_Fire,false,true,false,NotInterested,None,25,90,1.0,3,1,8,114,true,false,false
BOSS_FlowerRabbit,false,true,false,NotInterested,None,25,90,1.0,3,1,5,90,true,false,false
BOSS_FlyingManta,false,true,false,NotInterested,None,25,90,1.0,3,7,5,96,true,false,false
BOSS_FoxMage,false,true,false,Boss,None,25,90,1.0,4,1,8,108,true,false,false
BOSS_FoxMage_Dark,false,true,true,Boss,None,25,90,1.0,4,1,8,108,true,false,false
BOSS_Ganesha,false,true,false,NotInterested,None,25,90,1.0,4,2,5,84,true,false,false
BOSS_Garm,true,true,false,Boss,None,25,90,1.0,3,2,5,96,true,false,false
BOSS_GhostBeast,true,true,true,Boss,None,25,90,1.0,4,2,8,90,true,false,false
BOSS_GoldenHorse,false,true,false,Boss,None,25,90,1.0,3,2,8,144,true,false,false
BOSS_Gorilla,true,true,false,Boss,None,25,90,1.0,3,1,8,108,true,false,false
BOSS_Gorilla_Ground,true,true,false,Boss,None,25,90,1.0,3,1,8,108,true,false,false
BOSS_GrassDragon,false,true,false,Boss,None,25,90,1.0,5,1,7,156,true,false,false
BOSS_GrassMammoth,false,true,false,NotInterested,None,25,90,1.0,5,2,8,180,true,false,false
BOSS_GrassMammoth_Ice,false,true,false,NotInterested,None,25,90,1.0,5,2,8,180,true,false,false
BOSS_GrassPanda,false,true,false,Boss,None,25,90,1.0,5,1,8,120,true,false,false
BOSS_GrassPanda_Electric,false,true,false,Boss,None,25,90,1.0,5,1,8,120,true,false,false
BOSS_GrassRabbitMan,false,true,false,Boss,None,25,90,1.0,3,1,8,108,true,false,false
BOSS_HadesBird,true,true,true,Boss,None,25,90,1.0,5,5,8,120,true,false,false
BOSS_HadesBird_Electric,true,true,true,Boss,None,25,90,1.0,5,5,8,126,true,false,false
BOSS_HawkBird,true,true,false,Boss,None,25,90,1.0,4,5,5,120,true,false,false
BOSS_Hedgehog,false,true,false,NotInterested,None,25,90,1.0,3,2,5,84,true,false,false
BOSS_Hedgehog_Ice,false,true,false,NotInterested,None,25,90,1.0,3,2,5,84,true,false,false
BOSS_HerculesBeetle,false,true,false,Boss,None,25,90,1.0,4,1,8,144,true,false,false
BOSS_HerculesBeetle_Ground,false,true,false,Boss,None,25,90,1.0,4,1,8,144,true,false,false
BOSS_Horus,false,true,false,Boss,None,25,90,1.0,5,5,8,126,true,false,false
BOSS_IceDeer,false,true,false,Boss,None,25,90,1.0,4,2,7,120,true,false,false
BOSS_IceFox,false,true,false,NotInterested,None,25,90,1.0,3,2,8,108,true,false,false
BOSS_IceHorse,false,true,false,Boss,None,25,90,1.0,5,2,8,168,true,false,false
BOSS_IceHorse_Dark,false,true,true,Boss,None,25,90,1.0,5,2,8,168,true,false,false
BOSS_JetDragon,false,true,false,Boss,None,25,90,1.0,5,3,8,138,true,false,false
BOSS_Kelpie,false,true,false,NotInterested,None,25,90,1.0,3,3,5,84,true,false,false
BOSS_Kelpie_Fire,false,true,false,NotInterested,None,25,90,1.0,3,3,5,84,true,false,false
BOSS_KingAlpaca,false,true,false,NotInterested,None,25,90,1.0,5,2,8,144,true,false,false
BOSS_KingAlpaca_Ice,false,true,false,NotInterested,None,25,90,1.0,5,2,8,144,true,false,false
BOSS_KingBahamut,false,true,false,Boss,None,25,90,1.0,5,2,8,120,true,false,false
BOSS_KingBahamut_Dragon,false,true,false,Boss,None,25,90,1.0,5,2,8,126,true,false,false
BOSS_Kirin,false,true,false,Boss,None,25,90,1.0,4,2,8,96,true,false,false
BOSS_Kirin_Ice,false,true,false,Boss,None,25,90,1.0,4,2,8,96,true,false,false
BOSS_Kitsunebi,false,true,false,NotInterested,None,25,90,1.0,2,2,5,78,true,false,false
Boss_LavaGirl,false,true,false,NotInterested,None,25,90,1.0,2,1,5,72,true,false,false
Boss_LazyCatFish,false,true,false,NotInterested,None,25,90,1.0,3,4,7,120,true,false,false
BOSS_LazyDragon,true,true,false,Boss,None,25,90,1.0,5,6,8,144,true,false,false
BOSS_LazyDragon_Electric,true,true,false,Boss,None,25,90,1.0,5,6,8,144,true,false,false
BOSS_LilyQueen,false,true,false,Boss,None,25,90,1.0,4,1,8,144,true,false,false
BOSS_LilyQueen_Dark,false,true,true,Boss,None,25,90,1.0,4,1,8,138,true,false,false
BOSS_LittleBriarRose,false,true,false,NotInterested,None,25,90,1.0,2,1,5,96,true,false,false
BOSS_LizardMan,true,true,true,Boss,None,25,90,1.0,3,1,5,96,true,false,false
BOSS_LizardMan_Fire,true,true,false,Boss,None,25,90,1.0,3,1,5,96,true,false,false
BOSS_Manticore,true,true,false,Boss,None,25,90,1.0,5,2,8,126,true,false,false
BOSS_Manticore_Dark,true,true,true,Boss,None,25,90,1.0,5,2,8,126,true,false,false
BOSS_Monkey,false,true,false,NotInterested,None,25,90,1.0,2,1,5,96,true,false,false
BOSS_Monkey_Ice,false,true,false,NotInterested,None,25,90,1.0,2,1,5,96,true,false,false
BOSS_Monkey_Fire,false,true,false,NotInterested,None,25,90,1.0,2,1,5,96,true,false,false
BOSS_MopBaby,false,true,false,NotInterested,None,25,90,1.0,2,7,5,72,true,false,false
BOSS_MopKing,false,true,false,NotInterested,None,25,90,1.0,4,7,8,120,true,false,false
BOSS_Mutant,false,true,false,Boss,None,25,90,1.0,3,1,8,108,true,false,false
BOSS_NaughtyCat,false,true,false,NotInterested,None,25,90,1.0,3,2,8,132,true,false,false
BOSS_NegativeKoala,false,true,true,Boss,None,25,90,1.0,2,1,5,84,true,false,false
BOSS_NegativeOctopus,false,true,true,NotInterested,None,25,90,1.0,3,7,5,72,true,false,false
BOSS_NightFox,false,true,true,NotInterested,None,25,90,1.0,3,2,8,90,true,false,false
BOSS_Penguin,false,true,false,NotInterested,None,25,90,1.0,2,1,5,84,true,false,false
BOSS_PinkCat,false,true,false,NotInterested,None,25,90,1.0,2,1,5,84,true,false,false
BOSS_PinkKangaroo,false,true,false,Boss,None,25,90,1.0,5,1,7,120,true,false,false
BOSS_PinkLizard,false,true,true,Boss,None,25,90,1.0,4,1,8,144,true,false,false
BOSS_PinkRabbit,false,true,false,NotInterested,None,25,90,1.0,2,1,5,90,true,false,false
BOSS_PlantSlime,false,true,false,NotInterested,None,25,90,1.0,5,7,8,84,true,false,false
BOSS_PlantSlime_Flower,false,true,false,NotInterested,None,25,90,1.0,5,7,8,84,true,false,false
BOSS_QueenBee,false,true,false,Boss,None,25,90,1.0,5,1,8,108,true,false,false
BOSS_RaijinDaughter,false,true,false,NotInterested,None,25,90,1.0,4,1,5,84,true,false,false
BOSS_RedArmorBird,true,true,false,Boss,None,25,90,1.0,5,5,8,114,true,false,false
BOSS_RobinHood,false,true,false,Boss,None,25,90,1.0,4,1,8,108,true,false,false
BOSS_RobinHood_Ground,false,true,false,Boss,None,25,90,1.0,4,1,8,108,true,false,false
BOSS_Ronin,false,true,false,Boss,None,25,90,1.0,4,1,8,96,true,false,false
BOSS_Ronin_Dark,false,true,true,Boss,None,25,90,1.0,4,1,8,96,true,false,false
BOSS_SaintCentaur,false,true,false,Boss,None,25,90,1.0,5,2,8,156,true,false,false
BOSS_SakuraSaurus,false,true,false,NotInterested,None,25,90,1.0,5,2,8,144,true,false,false
BOSS_SakuraSaurus_Water,false,true,false,NotInterested,None,25,90,1.0,5,2,8,144,true,false,false
BOSS_Serpent,true,true,false,NotInterested,None,25,90,1.0,4,4,5,108,true,false,false
BOSS_Serpent_Ground,true,true,false,NotInterested,None,25,90,1.0,4,4,8,108,true,false,false
BOSS_SharkKid,true,true,false,Boss,None,25,90,1.0,3,1,5,108,true,false,false
BOSS_SharkKid_Fire,true,true,false,Boss,None,25,90,1.0,3,1,5,108,true,false,false
BOSS_SheepBall,false,true,false,NotInterested,None,25,90,1.0,3,1,5,84,true,false,false
BOSS_SkyDragon,false,true,false,Boss,None,25,90,1.0,5,3,8,126,true,false,false
BOSS_SkyDragon_Grass,false,true,false,Boss,None,25,90,1.0,5,3,8,126,true,false,false
BOSS_SoldierBee,false,true,false,Boss,None,25,90,1.0,4,1,7,96,true,false,false
BOSS_Suzaku,false,true,false,Boss,None,25,90,1.0,5,5,8,144,true,false,false
BOSS_Suzaku_Water,false,true,false,Boss,None,25,90,1.0,5,5,8,150,true,false,false
BOSS_SweetsSheep,false,true,false,NotInterested,None,25,90,1.0,3,2,5,84,true,false,false
BOSS_SweetsSheep_Ground,false,true,false,NotInterested,None,25,90,1.0,3,2,7,84,true,false,false
BOSS_TentacleTurtle,false,true,false,Boss,None,25,90,1.0,3,7,5,90,true,false,false
BOSS_ThunderBird,true,true,false,Boss,None,25,90,1.0,4,5,8,126,true,false,false
BOSS_ThunderBird_Ice,true,true,false,Boss,None,25,90,1.0,4,5,8,126,true,false,false
BOSS_ThunderDog,true,true,false,Boss,None,25,90,1.0,4,2,8,108,true,false,false
BOSS_ThunderDog_Ice,true,true,false,Boss,None,25,90,1.0,4,2,8,108,true,false,false
BOSS_ThunderDragonMan,true,true,false,Boss,None,25,90,1.0,4,1,8,144,true,false,false
BOSS_Umihebi,true,true,false,Boss,None,25,90,1.0,5,4,8,156,true,false,false
BOSS_Umihebi_Fire,true,true,false,Boss,None,25,90,1.0,5,4,8,156,true,false,false
BOSS_VioletFairy,false,true,false,NotInterested,None,25,90,1.0,3,1,8,120,true,false,false
BOSS_VolcanicMonster,true,true,false,Boss,None,25,90,1.0,5,2,8,132,true,false,false
BOSS_VolcanicMonster_Ice,true,true,false,Boss,None,25,90,1.0,5,2,8,132,true,false,false
BOSS_WaterLizard,false,true,false,Boss,None,25,90,1.0,5,1,7,108,true,false,false
BOSS_WeaselDragon,false,true,false,NotInterested,None,25,90,1.0,4,2,7,108,true,false,false
BOSS_WeaselDragon_Fire,false,true,false,NotInterested,None,25,90,1.0,4,2,8,108,true,false,false
BOSS_Werewolf,true,true,true,Boss,None,25,90,1.0,3,1,7,96,true,false,false
BOSS_WhiteMoth,false,true,false,Boss,None,25,90,1.0,4,1,8,132,true,false,false
BOSS_WhiteMoth_Neutral,false,true,false,Boss,None,25,90,1.0,4,1,8,138,true,false,false
BOSS_WhiteTiger,true,true,false,Boss,None,25,90,1.0,5,1,8,120,true,false,false
BOSS_WindChimes,false,true,false,NotInterested,None,25,90,1.0,3,7,5,96,true,false,false
BOSS_WindChimes_Ice,false,true,false,NotInterested,None,25,90,1.0,3,7,7,96,true,false,false
BOSS_WizardOwl,false,true,true,NotInterested,None,25,90,1.0,3,5,5,84,true,false,false
Boss_WoolFox,false,true,false,NotInterested,None,25,90,1.0,3,2,5,84,true,false,false
BOSS_Yeti,true,true,false,Boss,None,25,90,1.0,5,1,8,168,true,false,false
BOSS_Yeti_Grass,true,true,false,Boss,None,25,90,1.0,5,1,8,168,true,false,false
BOSS_NightLady,false,true,true,Boss,None,25,90,1.0,4,1,8,144,true,false,false
BOSS_NightLady_Dark,false,true,true,Boss,None,25,90,1.0,4,1,8,144,true,false,false
BOSS_MoonQueen,false,true,true,Boss,None,25,90,1.0,4,1,8,156,true,false,false
BOSS_KendoFrog,false,true,false,Boss,None,25,90,1.0,2,1,5,96,true,false,false
BOSS_LeafPrincess,false,true,false,Boss,None,25,90,1.0,3,1,5,108,true,false,false
BOSS_MushroomDragon,false,true,false,Boss,None,25,90,1.0,3,1,5,132,true,false,false
BOSS_MushroomDragon_Dark,false,true,true,Boss,None,25,90,1.0,3,1,8,132,true,false,false
BOSS_SmallArmadillo,false,true,false,Boss,None,25,90,1.0,2,2,5,90,true,false,false
BOSS_FeatherOstrich,false,true,false,Boss,None,25,90,1.0,3,7,8,114,true,false,false
BOSS_ScorpionMan,false,true,true,Boss,None,25,90,1.0,3,1,8,108,true,false,false
BOSS_ScorpionMan_Electric,false,true,false,Boss,None,25,90,1.0,3,1,8,108,true,false,false
BOSS_WingGolem,false,true,false,Boss,None,25,90,1.0,5,1,8,126,true,false,false
BOSS_WingGolem_Fire,false,true,false,Boss,None,25,90,1.0,5,1,8,126,true,false,false
BOSS_CandleGhost,false,true,true,Boss,None,25,90,1.0,4,7,8,126,true,false,false
BOSS_GuardianDog,false,true,false,Boss,None,25,90,1.0,2,2,5,102,true,false,false
BOSS_SifuDog,false,true,false,Boss,None,25,90,1.0,3,1,8,108,true,false,false
BOSS_MimicDog,false,true,false,Boss,None,25,90,1.0,3,2,8,72,true,false,false
BOSS_DarkAlien,true,true,true,Boss,None,25,90,1.0,3,1,8,108,true,false,false
BOSS_WhiteAlienDragon,true,true,false,Boss,None,25,90,1.0,5,2,8,132,true,false,false
BOSS_VolcanoDragon,true,true,false,Boss,None,25,90,1.0,5,2,8,132,true,false,false
BOSS_VolcanoDragon_Ice,true,true,false,Boss,None,25,90,1.0,5,2,8,132,true,false,false
BOSS_DarkMechaDragon,true,true,true,Boss,None,25,90,1.0,5,5,8,156,true,false,false
BOSS_GhostRabbit,false,true,true,Boss,None,25,90,1.0,3,1,8,126,true,false,false
BOSS_GhostRabbit_Grass,false,true,false,Boss,None,25,90,1.0,3,1,8,132,true,false,false
BOSS_NightBlueHorse,false,true,true,Boss,None,25,90,1.0,4,2,8,132,true,false,false
BOSS_NightBlueHorse_Neutral,false,true,false,Boss,None,25,90,1.0,4,2,8,132,true,false,false
BOSS_WhiteShieldDragon,false,true,false,Boss,None,25,90,1.0,5,2,8,144,true,false,false
BOSS_BlackPuppy,false,true,true,Boss,None,25,90,1.0,2,2,5,102,true,false,false
BOSS_BlackPuppy_Ice,false,true,true,Boss,None,25,90,1.0,2,2,5,102,true,false,false
BOSS_WhiteDeer,false,true,false,Boss,None,25,90,1.0,4,2,8,144,true,false,false
BOSS_WhiteDeer_Dark,false,true,true,Boss,None,25,90,1.0,4,2,8,144,true,false,false
BOSS_KingWhale,false,true,false,Boss,None,25,90,1.0,5,4,8,216,true,true,false
BOSS_MysteryMask,false,true,true,Boss,None,25,90,1.0,3,7,5,114,true,false,false
BOSS_HoodGhost,true,true,true,Boss,None,25,90,1.0,3,7,5,84,true,false,false
BOSS_Sekhmet,false,true,false,Boss,None,25,90,1.0,3,1,8,132,true,false,false
BOSS_ElecLizard,false,true,false,Boss,None,25,90,1.0,3,4,5,96,true,false,false
BOSS_GrimGirl,false,true,true,Boss,None,25,90,1.0,4,1,5,114,true,false,false
BOSS_PurpleSpider,false,true,true,Boss,None,25,90,1.0,3,7,5,132,true,false,false
BOSS_BlueThunderHorse,false,true,false,Boss,None,25,90,1.0,4,2,8,156,true,false,false
BOSS_RockBeast,false,true,false,Boss,None,25,90,1.0,3,2,8,120,true,false,false
BOSS_RockBeast_Ice,false,true,false,Boss,None,25,90,1.0,3,2,8,120,true,false,false
BOSS_OctopusGirl,false,true,true,Boss,None,25,90,1.0,3,1,8,84,true,false,false
BOSS_OctopusGirl_Neutral,false,true,false,Boss,None,25,90,1.0,3,1,8,90,true,false,false
BOSS_IceNarwhal,false,true,false,Boss,None,25,90,1.0,5,4,8,126,true,false,false
BOSS_JellyfishFairy,false,true,false,Boss,None,25,90,1.0,3,1,5,90,true,false,false
BOSS_BerryGoat_Dark,false,true,true,Boss,None,25,90,1.0,3,2,5,120,true,false,false
BOSS_Kitsunebi_Ice,false,true,false,Boss,None,25,90,1.0,2,2,5,78,true,false,false
BOSS_RaijinDaughter_Water,false,true,true,Boss,None,25,90,1.0,2,1,5,84,true,false,false
BOSS_SnowTigerBeastman,false,true,false,Boss,None,25,90,1.0,4,1,8,168,true,false,false
BOSS_Werewolf_Ice,true,true,false,Boss,None,25,90,1.0,4,1,5,96,true,false,false
BOSS_WhiteTiger_Ground,true,true,false,Boss,None,25,90,1.0,4,1,8,120,true,false,false
BOSS_Horus_Water,false,true,false,Boss,None,25,90,1.0,5,5,8,132,true,false,false
BOSS_FengyunDeeper_Electric,false,true,false,Boss,None,25,90,1.0,4,2,5,132,true,false,false
BOSS_AmaterasuWolf_Dark,true,true,true,Boss,None,25,90,1.0,4,2,8,120,true,false,false
BOSS_PinkRabbit_Grass,false,true,false,NotInterested,None,25,90,1.0,2,1,5,96,true,false,false
BOSS_SnakeGirl,true,true,true,Boss,None,25,90,1.0,3,1,8,96,true,false,false
BOSS_GhostAnglerFish,false,true,true,Boss,None,25,90,1.0,4,4,8,108,true,false,false
BOSS_IceWitch,false,true,false,Boss,None,25,90,1.0,3,1,5,114,true,false,false
BOSS_ClownRabbit,false,true,false,Boss,None,25,90,1.0,4,1,8,120,true,false,false
BOSS_LegendDeer,false,true,false,Boss,None,25,90,1.0,5,2,8,162,true,false,false
BOSS_LeafMomonga,false,true,false,Boss,None,25,90,1.0,2,2,5,96,true,false,false
BOSS_SmallYeti,false,true,false,Boss,None,25,90,1.0,3,1,5,96,true,false,false
BOSS_IceCrocodile,false,true,false,Boss,None,25,90,1.0,3,1,5,90,true,false,false
BOSS_CactusDoll,false,true,false,Boss,None,25,90,1.0,2,2,5,90,true,false,false
BOSS_CactusDoll_Dark,false,true,true,Boss,None,25,90,1.0,2,2,5,90,true,false,false
BOSS_MushroomLady,false,true,false,Boss,None,25,90,1.0,4,1,8,126,true,false,false
BOSS_StuffedShark,false,true,false,Boss,None,25,90,1.0,3,1,5,90,true,false,false
BOSS_FoxExorcist,false,true,false,Boss,None,25,90,1.0,4,1,8,132,true,false,false
BOSS_IceSeal,false,true,false,Boss,None,25,90,1.0,3,2,8,114,true,false,false
BOSS_IceSeal_Ground,false,true,false,Boss,None,25,90,1.0,3,2,8,114,true,false,false
BOSS_CloverFairy,false,true,false,Boss,None,25,90,1.0,2,1,5,96,true,false,false
BOSS_ElecPomeranian,true,true,false,Boss,None,25,90,1.0,2,2,5,90,true,false,false
BOSS_GhostBlackCat,false,true,true,Boss,None,25,90,1.0,3,1,8,102,true,false,false
BOSS_ThiefBird,false,true,true,Boss,None,25,90,1.0,4,5,8,132,true,false,false
BOSS_OniGhostGirl,false,true,true,Boss,None,25,90,1.0,3,1,5,84,true,false,false
BOSS_KingCrab,false,true,false,Boss,None,25,90,1.0,3,2,5,120,true,false,false
BOSS_Plesiosaur,false,true,false,Boss,None,25,90,1.0,5,2,8,156,true,false,false
BOSS_TropicalOstrich,false,true,false,Boss,None,25,90,1.0,4,7,8,126,true,false,false
BOSS_GrassGolem,false,true,false,Boss,None,25,90,1.0,5,1,8,132,true,false,false
BOSS_GrassGolem_Dark,false,true,true,Boss,None,25,90,1.0,5,1,8,132,true,false,false
BOSS_SnowPeafowl,false,true,false,Boss,None,25,90,1.0,4,7,5,132,true,false,false
BOSS_CubeTurtle,false,true,false,Boss,None,25,90,1.0,5,2,8,114,true,false,false
BOSS_CubeTurtle_Neutral,false,true,false,Boss,None,25,90,1.0,5,2,8,114,true,false,false
BOSS_LongCat,false,true,false,Boss,None,25,90,1.0,3,2,5,90,true,false,false
BOSS_JellyfishGhost,false,true,true,Boss,None,25,90,1.0,3,1,5,108,true,false,false
BOSS_ThunderFluffyBird,false,true,false,Boss,None,25,90,1.0,4,5,8,90,true,false,false
BOSS_MoonChild,false,true,true,Boss,None,25,90,1.0,3,1,5,96,true,false,false
BOSS_SamuraiDog,false,true,false,Boss,None,25,90,1.0,2,2,5,84,true,false,false
BOSS_PoseidonOrca,false,true,false,Boss,None,25,90,1.0,5,7,8,126,true,false,false
BOSS_SwordCutlassfish,false,true,false,Boss,None,25,90,1.0,4,4,8,84,true,false,false
BOSS_SwordCutlassfish_Fire,false,true,false,Boss,None,25,90,1.0,4,4,8,84,true,false,false
BOSS_NegativeOctopus_Neutral,false,true,false,Boss,None,25,90,1.0,3,7,5,84,true,false,false
BOSS_Penguin_Electric,false,true,false,Boss,None,25,90,1.0,2,1,5,84,true,false,false
BOSS_CaptainPenguin_Black,false,true,false,Boss,None,25,90,1.0,4,1,8,120,true,false,false
